date,city,month,day_of_week,season,disruption_type,severity,duration_hours,rainfall_mm,temperature_c,aqi,wind_speed_ms,riders_affected,total_payout_inr,actual_value,threshold,has_disruption
2023-02-26,Kolkata,2,6,winter,SevereAQI,Moderate,14.8,3.3,17.9,400.0,0.0,19,19988,400.0,400.0,1
2025-12-07,Kolkata,12,6,winter,SocialDisruption,Severe,9.3,9.5,24.8,168.0,5.0,7,12194,12.8,4.0,1
2024-03-06,Bangalore,3,2,summer,SocialDisruption,Extreme,8.4,58.3,28.3,73.0,5.4,15,15285,13.08,4.0,1
2025-11-22,Kolkata,11,5,winter,ExtremeHeat,Moderate,2.6,19.2,43.7,226.0,1.8,12,8796,43.75,48.0,1
2023-12-16,Kolkata,12,5,winter,SevereAQI,Severe,10.3,16.6,27.1,482.0,1.0,14,22582,481.91,400.0,1
2023-09-04,Bangalore,9,0,monsoon,SocialDisruption,Moderate,5.9,111.6,23.6,66.0,4.7,10,12010,8.09,4.0,1
2025-04-07,Hyderabad,4,0,summer,SevereAQI,Severe,9.6,18.4,40.1,463.0,3.5,9,13257,462.95,400.0,1
2025-09-25,Bangalore,9,3,monsoon,SocialDisruption,Severe,5.7,98.4,26.6,65.0,6.5,10,8870,10.98,4.0,1
2025-11-05,Delhi,11,2,winter,SocialDisruption,Moderate,2.4,7.2,12.0,340.0,6.1,21,25347,5.93,4.0,1
2024-09-06,Mumbai,9,4,monsoon,Flooding,Severe,8.1,10.6,27.7,74.0,6.2,10,10820,10.64,6.0,1
2023-04-28,Chennai,4,4,summer,HeavyRain,Severe,7.0,90.1,33.5,94.0,6.2,8,10008,90.11,64.0,1
2025-06-24,Mumbai,6,1,monsoon,SevereAQI,Moderate,6.9,487.7,30.3,400.0,5.1,15,24135,400.0,400.0,1
2023-11-07,Bangalore,11,1,winter,Flooding,Moderate,10.9,6.7,25.1,93.0,6.9,8,7696,6.68,6.0,1
2025-08-29,Chennai,8,4,monsoon,SocialDisruption,Severe,10.2,88.7,30.9,62.0,5.1,16,19680,10.92,4.0,1
2024-09-18,Kolkata,9,2,monsoon,SocialDisruption,Severe,3.2,270.4,29.7,36.0,0.9,16,28736,11.93,4.0,1
2025-02-26,Hyderabad,2,2,winter,HeavyRain,Moderate,14.4,76.5,23.9,136.0,3.0,10,13820,76.52,64.0,1
2023-07-06,Delhi,7,3,monsoon,SocialDisruption,Moderate,6.9,121.3,33.5,60.0,4.8,10,15020,7.54,4.0,1
2024-08-19,Chennai,8,0,monsoon,Flooding,Extreme,6.3,14.6,30.7,83.0,5.3,14,8624,14.57,6.0,1
2024-08-14,Chennai,8,2,monsoon,SevereAQI,Severe,2.0,54.2,29.1,497.0,6.7,10,9670,496.81,400.0,1
2025-08-11,Jaipur,8,0,monsoon,Flooding,Severe,3.1,11.6,32.8,97.0,5.2,11,9658,11.62,6.0,1
2025-09-22,Bangalore,9,0,monsoon,ExtremeHeat,Moderate,5.9,203.6,43.0,79.0,4.7,12,17052,43.03,48.0,1
2023-01-16,Delhi,1,0,winter,ExtremeHeat,Moderate,8.0,0.0,43.6,310.0,5.5,9,10620,43.58,48.0,1
2024-07-22,Delhi,7,0,monsoon,Flooding,Moderate,5.3,6.0,34.2,116.0,4.0,10,6230,6.0,6.0,1
2025-12-03,Delhi,12,2,winter,SocialDisruption,Severe,13.1,23.2,17.1,494.0,1.8,11,16599,9.6,4.0,1
2023-05-21,Hyderabad,5,6,summer,HeavyRain,Moderate,6.7,54.0,36.1,123.0,0.0,10,11400,54.05,64.0,1
2024-03-14,Hyderabad,3,3,summer,HeavyRain,Moderate,7.5,30.0,38.7,110.0,6.7,24,27984,30.0,64.0,1
2025-12-01,Mumbai,12,0,winter,SevereAQI,Severe,9.8,15.6,25.7,497.0,1.9,9,7452,497.41,400.0,1
2024-07-20,Mumbai,7,5,monsoon,HeavyRain,Moderate,7.3,53.9,31.9,74.0,3.2,10,12520,53.88,64.0,1
2025-04-15,Mumbai,4,1,summer,SevereAQI,Moderate,9.1,19.3,34.0,436.0,4.8,15,9360,435.77,400.0,1
2023-10-12,Bangalore,10,3,summer,ExtremeHeat,Moderate,7.8,38.2,43.0,57.0,3.0,15,14835,43.0,48.0,1
2025-05-08,Jaipur,5,3,summer,ExtremeHeat,Severe,7.3,0.0,47.9,163.0,5.1,7,5887,47.94,48.0,1
2023-08-24,Kolkata,8,3,monsoon,SocialDisruption,Severe,4.3,185.4,33.7,97.0,2.8,13,17849,10.49,4.0,1
2023-10-07,Chennai,10,5,summer,HeavyRain,Extreme,9.6,151.8,31.6,105.0,7.4,14,16156,151.83,64.0,1
2024-03-15,Bangalore,3,4,summer,SevereAQI,Moderate,6.7,45.6,30.3,403.0,4.8,9,13959,402.91,400.0,1
2024-07-14,Delhi,7,6,monsoon,HeavyRain,Extreme,10.3,132.5,31.1,119.0,5.3,9,14823,132.47,64.0,1
2023-06-02,Ahmedabad,6,4,monsoon,Flooding,Severe,7.9,11.5,31.8,78.0,5.8,14,13594,11.49,6.0,1
2024-12-06,Ahmedabad,12,4,winter,Flooding,Moderate,5.8,8.2,26.5,167.0,3.3,13,9945,8.15,6.0,1
2023-06-19,Mumbai,6,0,monsoon,HeavyRain,Extreme,5.9,142.0,30.9,36.0,3.7,18,29772,141.97,64.0,1
2025-08-06,Bangalore,8,2,monsoon,SevereAQI,Severe,9.0,201.0,23.8,463.0,6.9,10,9660,463.2,400.0,1
2024-08-08,Mumbai,8,3,monsoon,Flooding,Moderate,2.0,8.9,30.0,71.0,6.9,9,13572,8.91,6.0,1
2024-02-07,Mumbai,2,2,winter,SocialDisruption,Moderate,5.4,5.8,25.6,150.0,6.2,13,22295,6.13,4.0,1
2025-03-15,Mumbai,3,5,summer,ExtremeHeat,Moderate,3.6,6.5,45.5,152.0,7.5,14,20426,45.45,48.0,1
2025-08-29,Bangalore,8,4,monsoon,HeavyRain,Moderate,8.7,42.6,25.6,47.0,7.5,16,27600,42.57,64.0,1
2023-10-08,Kolkata,10,6,summer,SocialDisruption,Severe,9.8,41.9,37.1,128.0,5.3,13,14794,10.95,4.0,1
2025-08-30,Delhi,8,5,monsoon,Flooding,Severe,2.3,11.1,28.4,111.0,3.2,13,20839,11.12,6.0,1
2025-02-11,Delhi,2,1,winter,SocialDisruption,Severe,6.0,13.4,15.1,446.0,1.1,10,9740,12.01,4.0,1
2024-03-27,Pune,3,2,summer,SocialDisruption,Moderate,6.8,18.0,33.0,85.0,1.2,14,15316,6.78,4.0,1
2023-03-22,Kolkata,3,2,summer,SevereAQI,Moderate,9.4,15.0,37.2,400.0,4.6,13,11245,400.0,400.0,1
2024-07-12,Hyderabad,7,4,monsoon,HeavyRain,Severe,8.2,109.4,22.7,78.0,1.4,12,19980,109.44,64.0,1
2023-03-12,Hyderabad,3,6,summer,Flooding,Severe,5.9,12.0,36.1,117.0,5.1,12,14928,11.97,6.0,1
2024-11-20,Pune,11,2,winter,HeavyRain,Moderate,2.4,87.5,21.3,143.0,6.6,9,13536,87.46,64.0,1
2023-08-21,Kolkata,8,0,monsoon,Flooding,Severe,10.5,9.6,29.1,94.0,4.7,10,17790,9.57,6.0,1
2024-11-21,Mumbai,11,3,winter,SocialDisruption,Moderate,2.5,4.9,27.2,150.0,1.4,5,8825,4.21,4.0,1
2025-10-03,Jaipur,10,4,summer,SocialDisruption,Moderate,8.0,12.5,38.3,190.0,5.6,8,8856,6.39,4.0,1
2025-05-27,Delhi,5,1,summer,ExtremeHeat,Moderate,5.4,46.4,43.5,273.0,5.1,11,12001,43.54,48.0,1
2025-07-16,Bangalore,7,2,monsoon,HeavyRain,Extreme,2.0,134.3,26.0,69.0,8.1,13,21697,134.28,64.0,1
2024-03-29,Mumbai,3,4,summer,SocialDisruption,Severe,7.0,1.7,25.9,88.0,3.9,12,12684,11.98,4.0,1
2024-07-29,Jaipur,7,0,monsoon,Flooding,Severe,10.6,11.6,36.0,82.0,0.2,14,14714,11.59,6.0,1
2024-05-24,Kolkata,5,4,summer,SocialDisruption,Moderate,9.2,64.1,32.6,109.0,2.8,11,18425,8.31,4.0,1
2023-02-11,Hyderabad,2,5,winter,HeavyRain,Moderate,11.6,76.5,12.1,131.0,5.0,15,14220,76.51,64.0,1
2025-01-30,Hyderabad,1,3,winter,Flooding,Severe,6.5,11.5,27.4,142.0,7.1,10,15470,11.5,6.0,1
2025-08-10,Chennai,8,6,monsoon,HeavyRain,Severe,10.5,106.8,32.8,62.0,2.2,9,7272,106.77,64.0,1
2023-10-07,Pune,10,5,summer,ExtremeHeat,Severe,5.7,10.9,47.1,62.0,0.1,14,9184,47.06,48.0,1
2024-11-17,Kolkata,11,6,winter,SocialDisruption,Moderate,2.0,21.8,17.1,241.0,0.4,6,9216,8.04,4.0,1
2025-09-12,Hyderabad,9,4,monsoon,SocialDisruption,Moderate,8.7,182.1,27.9,51.0,5.3,20,24600,7.83,4.0,1
2023-04-29,Delhi,4,5,summer,HeavyRain,Moderate,9.7,53.2,43.8,123.0,7.2,11,15070,53.24,64.0,1
2025-05-10,Jaipur,5,5,summer,SevereAQI,Severe,7.5,15.3,38.3,490.0,4.1,9,5499,489.59,400.0,1
2025-08-24,Pune,8,6,monsoon,HeavyRain,Severe,2.0,107.2,24.5,58.0,3.9,11,10571,107.16,64.0,1
2025-09-29,Mumbai,9,0,monsoon,Flooding,Severe,13.2,12.9,27.5,30.0,5.7,17,24276,12.89,6.0,1
2024-09-13,Mumbai,9,4,monsoon,Flooding,Severe,11.0,11.3,29.5,64.0,6.4,19,33744,11.33,6.0,1
2025-02-16,Pune,2,6,winter,ExtremeHeat,Moderate,8.0,5.3,46.0,166.0,4.4,14,25046,46.02,48.0,1
2023-05-26,Delhi,5,4,summer,ExtremeHeat,Moderate,6.3,19.7,43.8,121.0,5.0,9,11952,43.76,48.0,1
2025-01-12,Chennai,1,6,winter,Flooding,Moderate,7.9,8.5,26.5,104.0,2.3,9,12366,8.51,6.0,1
2025-06-17,Hyderabad,6,1,monsoon,SevereAQI,Severe,9.1,142.2,27.6,460.0,7.5,4,2804,459.62,400.0,1
2025-05-29,Hyderabad,5,3,summer,ExtremeHeat,Severe,2.3,12.3,49.5,121.0,0.6,8,13752,49.47,48.0,1
2025-02-02,Chennai,2,6,winter,HeavyRain,Severe,2.0,110.2,32.2,122.0,1.6,15,9735,110.23,64.0,1
2023-12-14,Mumbai,12,3,winter,SocialDisruption,Moderate,4.2,10.7,24.5,172.0,1.6,17,19006,7.21,4.0,1
2024-05-25,Mumbai,5,5,summer,ExtremeHeat,Moderate,6.6,5.5,45.2,47.0,6.3,17,21369,45.22,48.0,1
2023-11-27,Delhi,11,0,winter,SevereAQI,Extreme,7.0,11.7,18.3,517.0,3.6,10,15400,517.47,400.0,1
2025-03-24,Hyderabad,3,0,summer,ExtremeHeat,Severe,10.1,29.6,47.2,126.0,3.2,9,9639,47.23,48.0,1
2025-03-01,Pune,3,5,summer,SocialDisruption,Moderate,8.4,14.8,32.7,101.0,3.6,12,10212,9.1,4.0,1
2025-04-26,Bangalore,4,5,summer,SocialDisruption,Moderate,3.9,56.5,25.4,87.0,6.1,9,15795,9.33,4.0,1
2024-09-11,Mumbai,9,2,monsoon,HeavyRain,Extreme,4.0,144.0,33.3,60.0,2.7,14,18844,144.05,64.0,1
2025-10-15,Mumbai,10,2,summer,Flooding,Severe,8.4,10.0,33.9,85.0,5.2,12,16752,10.01,6.0,1
2025-01-15,Hyderabad,1,2,winter,HeavyRain,Moderate,10.8,30.0,21.1,158.0,4.7,15,12690,30.0,64.0,1
2024-04-12,Pune,4,4,summer,ExtremeHeat,Moderate,7.9,5.2,43.9,116.0,6.1,11,13959,43.91,48.0,1
2025-04-26,Pune,4,5,summer,Flooding,Extreme,8.1,13.6,32.9,84.0,4.9,22,30228,13.64,6.0,1
2023-12-19,Bangalore,12,1,winter,HeavyRain,Moderate,8.1,49.7,27.6,61.0,4.2,14,15120,49.67,64.0,1
2025-10-19,Mumbai,10,6,summer,SocialDisruption,Moderate,5.7,18.7,33.0,116.0,6.1,19,27284,6.82,4.0,1
2025-03-21,Bangalore,3,4,summer,HeavyRain,Moderate,10.3,72.2,29.5,91.0,2.7,15,19545,72.22,64.0,1
2024-05-14,Ahmedabad,5,1,summer,ExtremeHeat,Moderate,5.6,4.0,46.5,159.0,4.0,9,8109,46.49,48.0,1
2023-08-07,Bangalore,8,0,monsoon,SocialDisruption,Moderate,10.8,153.9,23.0,53.0,1.9,11,11847,8.52,4.0,1
2023-12-04,Bangalore,12,0,winter,SevereAQI,Moderate,4.5,53.3,19.0,400.0,3.0,14,21392,400.0,400.0,1
2024-11-21,Delhi,11,3,winter,SevereAQI,Severe,4.3,9.7,21.5,463.0,7.0,11,14399,462.79,400.0,1
2023-03-17,Mumbai,3,4,summer,SocialDisruption,Moderate,10.6,17.9,35.0,52.0,7.8,17,29971,4.0,4.0,1
2024-05-14,Bangalore,5,1,summer,HeavyRain,Moderate,5.5,45.0,26.6,88.0,5.1,17,12767,45.01,64.0,1
2023-06-10,Jaipur,6,5,monsoon,HeavyRain,Moderate,7.4,47.3,32.9,101.0,3.5,11,19767,47.31,64.0,1
2025-02-09,Pune,2,6,winter,HeavyRain,Moderate,7.4,84.3,27.8,112.0,3.4,12,16092,84.25,64.0,1
2023-11-11,Delhi,11,5,winter,SevereAQI,Severe,5.5,15.6,15.3,472.0,7.3,12,7416,472.22,400.0,1
2025-09-01,Hyderabad,9,0,monsoon,ExtremeHeat,Moderate,3.4,170.6,46.3,88.0,4.5,11,13981,46.31,48.0,1
2023-09-16,Mumbai,9,5,monsoon,Flooding,Moderate,7.6,6.0,34.4,53.0,3.5,21,20139,6.0,6.0,1
2025-04-08,Hyderabad,4,1,summer,SocialDisruption,Extreme,2.0,12.0,36.0,136.0,1.9,7,10920,13.0,4.0,1
2023-09-10,Mumbai,9,6,monsoon,ExtremeHeat,Severe,6.1,628.6,48.1,74.0,4.9,14,16338,48.1,48.0,1
2024-04-09,Mumbai,4,1,summer,ExtremeHeat,Severe,6.9,14.4,47.8,83.0,5.5,16,17712,47.8,48.0,1
2024-07-03,Mumbai,7,2,monsoon,HeavyRain,Extreme,6.3,134.4,29.8,48.0,8.3,13,14248,134.44,64.0,1
2023-11-13,Bangalore,11,0,winter,SocialDisruption,Moderate,8.1,49.1,24.4,86.0,4.5,5,8785,6.88,4.0,1
2025-03-01,Kolkata,3,5,summer,HeavyRain,Moderate,6.1,59.9,35.9,150.0,3.5,17,14977,59.89,64.0,1
2023-09-19,Bangalore,9,1,monsoon,HeavyRain,Moderate,6.6,80.7,24.2,64.0,3.5,7,12404,80.7,64.0,1
2023-04-01,Bangalore,4,5,summer,SocialDisruption,Severe,8.2,80.0,28.2,64.0,7.4,11,13992,11.88,4.0,1
2025-04-02,Delhi,4,2,summer,ExtremeHeat,Severe,8.0,18.8,46.5,206.0,5.2,5,6250,46.51,48.0,1
2023-11-24,Delhi,11,4,winter,HeavyRain,Severe,4.7,117.1,18.8,276.0,2.9,13,13299,117.15,64.0,1
2024-02-13,Chennai,2,1,winter,Flooding,Extreme,6.5,13.4,27.5,110.0,6.4,8,5264,13.42,6.0,1
2025-06-10,Chennai,6,1,monsoon,Flooding,Extreme,4.3,13.8,28.5,63.0,3.9,9,10620,13.79,6.0,1
2023-04-11,Hyderabad,4,1,summer,SevereAQI,Extreme,5.0,20.4,41.3,525.0,1.5,14,15414,525.16,400.0,1
2025-10-21,Hyderabad,10,1,summer,Flooding,Moderate,6.6,6.1,33.3,114.0,2.8,12,8184,6.06,6.0,1
2024-12-06,Bangalore,12,4,winter,SocialDisruption,Severe,7.9,55.9,22.1,104.0,2.0,13,22893,9.76,4.0,1
2025-11-05,Mumbai,11,2,winter,SocialDisruption,Moderate,2.3,1.9,23.4,108.0,0.9,12,8748,5.84,4.0,1
2025-02-17,Bangalore,2,0,winter,HeavyRain,Severe,3.9,99.0,17.5,101.0,1.0,15,19410,99.0,64.0,1
2024-07-12,Pune,7,4,monsoon,SocialDisruption,Severe,10.2,125.5,25.0,64.0,2.8,12,21492,10.33,4.0,1
2023-03-07,Jaipur,3,1,summer,SevereAQI,Severe,6.9,9.8,46.4,480.0,3.7,8,9328,480.39,400.0,1
2023-07-04,Delhi,7,1,monsoon,SevereAQI,Moderate,9.2,137.7,31.2,435.0,4.5,17,14688,434.87,400.0,1
2023-04-12,Mumbai,4,2,summer,HeavyRain,Moderate,9.1,30.0,33.0,86.0,6.8,11,17996,30.0,64.0,1
2023-03-10,Pune,3,4,summer,SocialDisruption,Severe,8.0,10.2,36.4,67.0,5.0,14,21826,11.43,4.0,1
2023-08-03,Chennai,8,3,monsoon,HeavyRain,Severe,9.1,94.6,28.5,52.0,6.2,9,7317,94.57,64.0,1
2025-01-19,Hyderabad,1,6,winter,Flooding,Severe,7.2,10.1,20.9,227.0,8.1,10,7950,10.05,6.0,1
2025-10-27,Ahmedabad,10,0,summer,ExtremeHeat,Moderate,3.5,5.9,44.8,181.0,1.6,14,17808,44.76,48.0,1
2024-05-25,Mumbai,5,5,summer,SocialDisruption,Extreme,9.4,10.7,31.6,81.0,4.0,9,6543,17.46,4.0,1
2024-07-30,Jaipur,7,1,monsoon,ExtremeHeat,Severe,2.8,144.4,47.2,79.0,4.5,15,19275,47.17,48.0,1
2025-10-08,Lucknow,10,2,summer,ExtremeHeat,Moderate,11.8,21.5,45.7,271.0,4.0,10,13000,45.67,48.0,1
2023-07-18,Mumbai,7,1,monsoon,SevereAQI,Severe,8.7,437.5,30.4,490.0,2.9,10,17600,489.68,400.0,1
2024-01-17,Chennai,1,2,winter,SocialDisruption,Moderate,7.5,176.1,25.2,132.0,4.8,9,13185,6.03,4.0,1
2025-12-24,Hyderabad,12,2,winter,SocialDisruption,Severe,5.9,6.8,18.0,113.0,1.4,7,11578,9.73,4.0,1
2024-05-27,Bangalore,5,0,summer,Flooding,Moderate,4.7,6.0,26.5,62.0,4.8,11,14091,6.0,6.0,1
2024-05-01,Delhi,5,2,summer,ExtremeHeat,Moderate,9.8,31.2,43.0,212.0,3.0,5,3100,43.0,48.0,1
2025-01-07,Hyderabad,1,1,winter,HeavyRain,Moderate,12.1,32.2,18.3,115.0,6.0,7,8337,32.22,64.0,1
2023-02-18,Mumbai,2,5,winter,SevereAQI,Moderate,7.9,18.2,27.9,400.0,4.3,18,27342,400.0,400.0,1
2023-03-30,Pune,3,3,summer,HeavyRain,Moderate,5.4,30.0,31.8,97.0,6.9,10,12390,30.0,64.0,1
2024-11-07,Delhi,11,3,winter,SocialDisruption,Moderate,4.5,0.0,14.3,462.0,2.9,4,3040,7.43,4.0,1
2025-03-08,Jaipur,3,5,summer,ExtremeHeat,Moderate,7.2,6.8,45.5,115.0,4.5,12,9660,45.48,48.0,1
2025-03-21,Mumbai,3,4,summer,HeavyRain,Severe,3.9,111.3,31.9,122.0,6.6,6,8526,111.29,64.0,1
2024-04-18,Mumbai,4,3,summer,ExtremeHeat,Moderate,4.3,15.0,44.6,83.0,6.2,15,19740,44.61,48.0,1
2025-06-03,Delhi,6,1,monsoon,SocialDisruption,Moderate,10.7,157.3,30.5,94.0,3.6,9,13383,6.69,4.0,1
2024-09-04,Hyderabad,9,2,monsoon,SevereAQI,Moderate,7.4,108.1,34.3,447.0,4.5,14,14742,446.65,400.0,1
2023-01-21,Mumbai,1,5,winter,SevereAQI,Moderate,8.8,13.7,27.3,400.0,6.0,12,10284,400.0,400.0,1
2024-02-20,Chennai,2,1,winter,ExtremeHeat,Severe,2.7,222.9,48.6,141.0,4.4,8,12720,48.56,48.0,1
2024-01-20,Delhi,1,5,winter,ExtremeHeat,Moderate,5.2,14.9,46.1,264.0,3.9,15,13770,46.09,48.0,1
2024-10-14,Chennai,10,0,summer,ExtremeHeat,Moderate,3.1,43.4,43.0,119.0,2.0,11,13574,43.0,48.0,1
2025-04-25,Mumbai,4,4,summer,SevereAQI,Moderate,7.9,0.0,32.1,400.0,3.6,4,6132,400.0,400.0,1
2024-12-25,Chennai,12,2,winter,HeavyRain,Moderate,8.1,87.5,26.1,66.0,4.9,12,19788,87.53,64.0,1
2025-05-22,Bangalore,5,3,summer,ExtremeHeat,Severe,4.5,45.7,48.3,88.0,4.3,7,12264,48.33,48.0,1
2025-09-01,Pune,9,0,monsoon,Flooding,Severe,8.2,10.2,25.0,71.0,3.5,11,15906,10.17,6.0,1
2023-03-04,Mumbai,3,5,summer,ExtremeHeat,Moderate,8.8,24.9,45.4,101.0,6.8,16,21632,45.37,48.0,1
2023-01-09,Kolkata,1,0,winter,HeavyRain,Moderate,6.1,49.7,15.1,224.0,2.1,14,19264,49.74,64.0,1
2024-08-31,Delhi,8,5,monsoon,SocialDisruption,Moderate,5.9,104.6,37.5,80.0,4.3,7,12110,5.71,4.0,1
2025-08-09,Ahmedabad,8,5,monsoon,HeavyRain,Moderate,7.8,79.9,27.1,63.0,3.9,15,11970,79.87,64.0,1
2025-11-16,Jaipur,11,6,winter,HeavyRain,Moderate,11.0,68.7,11.6,167.0,4.8,15,16875,68.7,64.0,1
2025-10-31,Hyderabad,10,4,summer,SevereAQI,Moderate,7.5,26.0,42.3,400.0,2.6,11,19679,400.0,400.0,1
2023-03-08,Chennai,3,2,summer,ExtremeHeat,Severe,6.3,49.0,47.5,52.0,4.3,14,15498,47.49,48.0,1
2025-10-17,Jaipur,10,4,summer,HeavyRain,Extreme,9.0,164.2,36.8,220.0,4.1,11,10065,164.21,64.0,1
2024-07-06,Chennai,7,5,monsoon,Flooding,Moderate,3.0,8.4,30.8,100.0,3.5,9,9954,8.44,6.0,1
2025-04-09,Hyderabad,4,2,summer,HeavyRain,Severe,5.4,106.8,30.2,104.0,4.3,12,9600,106.81,64.0,1
2024-08-04,Mumbai,8,6,monsoon,SocialDisruption,Moderate,9.3,613.6,29.3,67.0,5.3,9,12735,6.93,4.0,1
2024-09-16,Mumbai,9,0,monsoon,Flooding,Severe,2.0,12.7,27.3,61.0,0.3,15,25965,12.71,6.0,1
2025-03-14,Hyderabad,3,4,summer,ExtremeHeat,Moderate,12.1,16.3,44.9,104.0,0.0,14,18732,44.86,48.0,1
2025-10-06,Ahmedabad,10,0,summer,ExtremeHeat,Moderate,11.3,4.1,43.2,236.0,3.2,6,7260,43.21,48.0,1
2025-06-07,Jaipur,6,5,monsoon,HeavyRain,Moderate,12.2,77.4,29.1,89.0,5.0,16,17776,77.37,64.0,1
2023-11-18,Kolkata,11,5,winter,SevereAQI,Extreme,2.0,28.4,16.6,528.0,8.8,10,17530,527.83,400.0,1
2023-01-12,Chennai,1,3,winter,HeavyRain,Extreme,8.7,142.0,28.1,98.0,2.8,12,10044,141.96,64.0,1
2023-08-25,Jaipur,8,4,monsoon,HeavyRain,Extreme,6.8,139.1,32.5,103.0,6.4,15,25050,139.09,64.0,1
2024-06-25,Mumbai,6,1,monsoon,ExtremeHeat,Moderate,2.0,528.0,43.0,44.0,6.7,12,14268,43.0,48.0,1
2025-03-08,Delhi,3,5,summer,ExtremeHeat,Severe,9.5,19.6,47.1,239.0,1.9,10,12510,47.05,48.0,1
2025-11-22,Bangalore,11,5,winter,ExtremeHeat,Moderate,4.1,48.9,43.0,55.0,5.8,11,14949,43.0,48.0,1
2024-05-07,Mumbai,5,1,summer,ExtremeHeat,Moderate,3.9,15.6,46.4,87.0,3.6,7,11998,46.43,48.0,1
2023-08-03,Mumbai,8,3,monsoon,SocialDisruption,Moderate,7.3,572.1,29.1,43.0,6.6,14,23702,7.52,4.0,1
2024-02-13,Pune,2,1,winter,HeavyRain,Moderate,7.2,62.9,21.2,55.0,6.5,7,4326,62.9,64.0,1
2023-07-26,Delhi,7,2,monsoon,SocialDisruption,Moderate,3.1,79.0,34.2,96.0,0.5,11,11209,6.14,4.0,1
2023-12-14,Hyderabad,12,3,winter,Flooding,Moderate,13.9,9.1,26.3,156.0,6.4,11,7227,9.06,6.0,1
2023-10-17,Delhi,10,1,summer,ExtremeHeat,Moderate,9.2,46.1,46.4,240.0,5.1,18,29736,46.37,48.0,1
2023-06-20,Hyderabad,6,1,monsoon,HeavyRain,Severe,6.1,98.8,26.4,59.0,2.0,11,16225,98.81,64.0,1
2025-06-17,Hyderabad,6,1,monsoon,HeavyRain,Moderate,6.1,70.1,29.8,58.0,3.2,17,28815,70.1,64.0,1
2025-10-13,Delhi,10,0,summer,SevereAQI,Severe,3.3,19.7,43.9,467.0,3.7,11,17578,466.7,400.0,1
2023-11-06,Delhi,11,0,winter,SevereAQI,Severe,7.9,12.1,10.9,455.0,0.6,11,17776,455.36,400.0,1
2023-10-21,Chennai,10,5,summer,SevereAQI,Moderate,8.1,59.7,33.5,433.0,5.3,13,20163,432.66,400.0,1
2023-02-06,Hyderabad,2,0,winter,ExtremeHeat,Severe,7.2,9.7,47.2,85.0,0.0,10,15340,47.22,48.0,1
2023-01-10,Mumbai,1,1,winter,SevereAQI,Extreme,13.5,6.6,27.0,548.0,4.9,18,19944,548.49,400.0,1
2025-05-01,Bangalore,5,3,summer,HeavyRain,Severe,3.1,91.3,25.7,41.0,1.1,15,12570,91.35,64.0,1
2024-03-15,Jaipur,3,4,summer,ExtremeHeat,Severe,8.4,4.0,46.6,167.0,4.1,10,12040,46.64,48.0,1
