claim_amount,rider_experience_months,claims_last_30_days,claims_last_7_days,distance_from_zone_km,time_since_last_claim_hours,trigger_weather_match,other_riders_same_zone_claimed,claim_hour,day_of_week,policy_age_days,is_fraudulent
11100,11,1,0,1.473596389657847,220.42822872981765,1,1,17,3,10,0
6300,31,1,0,6.199323982717447,89.12436684244605,1,1,20,0,39,0
11800,18,1,0,1.8676272957869111,20.015612660845065,1,1,15,3,43,0
17500,5,1,0,5.6388614997013375,97.10713852262438,0,1,14,0,22,0
14600,6,0,0,2.093956879661803,52.234148776369054,1,1,14,0,38,0
15900,15,1,0,2.108067053551656,284.51446566061264,1,1,8,2,20,0
9800,11,0,2,0.19402209803701595,205.20478227385735,1,1,15,3,59,0
14000,21,1,0,6.2706324884466085,16.879843707585596,0,1,8,0,54,0
14800,5,12,5,3.92,46.58502135372499,1,0,3,1,27,1
10600,25,1,1,0.43695269677036863,19.94988557325827,1,1,16,1,17,0
7900,14,0,2,4.285234334495925,27.412695719889452,1,1,9,2,14,0
8300,9,3,1,21.49,7.213579874436067,0,0,14,0,2,1
15400,1,3,1,2.0,23.44879686367193,0,0,2,0,24,1
11600,7,1,0,0.13264348236968254,153.40846673289815,0,1,17,5,32,0
5900,9,0,0,0.9210269345570568,297.47814174913617,1,1,20,4,134,0
6000,13,1,1,3.359758905526928,253.90404228132167,1,1,17,5,146,0
15700,36,0,0,4.952824180652444,185.9672692376104,1,1,19,1,23,0
7800,15,1,0,2.369708749448739,163.3097091261192,1,1,10,6,27,0
15000,6,0,0,0.3911004499750526,31.51570749928734,1,1,19,6,30,0
15100,4,1,2,2.36735608843667,131.42870641042197,1,1,12,3,17,0
7700,27,0,0,0.7344227768619733,177.68552696222363,1,1,11,3,53,0
7500,43,1,0,1.8363418211292035,22.640289285445274,1,0,11,4,30,0
8700,4,0,0,1.1220756053186727,685.4484537944315,1,1,18,3,36,0
7100,3,2,0,4.051944691295935,214.59577105571302,1,1,22,4,163,0
6500,30,0,0,1.3819564693917643,206.86980961131516,1,1,20,4,73,0
10100,11,0,1,3.90416707653867,312.7175272071094,1,1,20,1,55,0
11000,37,1,0,0.5785784102386836,720.0,0,1,10,1,15,0
5700,10,1,1,0.7162500670812308,159.8267393353666,1,1,21,2,26,0
9200,5,2,0,0.9011964173787307,130.31605134980794,0,1,11,6,89,0
6200,12,1,2,2.7686743623629035,22.794335621763423,1,1,8,2,7,0
16400,4,9,4,4.17,22.934669411378895,1,1,3,3,4,1
5700,25,0,0,1.8482579839312476,183.49660920991843,1,1,19,5,48,0
9200,7,1,1,0.7523714541648853,246.89932120750746,1,1,15,4,57,0
16500,4,1,0,2.906752155278169,12.96355658016303,1,0,16,4,20,0
9600,12,0,0,1.334038254266975,36.85514204595795,1,0,19,4,23,0
15100,49,2,0,3.3089916792257563,274.5194613388637,1,0,18,1,67,0
13600,11,2,0,2.7747472952745507,287.02859738987786,1,1,18,3,36,0
4800,9,2,0,1.5055342381871681,40.17288509620718,1,1,22,3,122,0
11400,4,1,0,8.183220307390922,154.51983577336992,1,0,11,5,73,0
7200,10,0,0,2.8705843173972205,129.90873667098015,1,1,18,4,10,0
7300,25,0,0,1.511429439827282,85.2791650893639,1,1,22,5,31,0
4700,4,0,0,0.7405340276883304,91.24812362594771,0,1,20,6,173,0
12700,7,0,0,2.3421038381952295,211.62133884184254,1,1,13,2,47,0
4400,20,0,0,0.518985963039169,89.28802297015491,1,0,18,1,172,0
11000,26,0,1,0.3810454824019511,187.6585596160604,1,1,16,6,34,0
11600,3,0,0,0.9628222905139305,38.6426384786976,1,1,13,0,31,0
14900,36,0,1,1.3202566502895583,105.93985508251599,1,1,13,1,13,0
10200,6,1,0,2.540673718583883,89.15557685715034,1,1,21,1,70,0
12400,29,1,1,7.556542095335192,140.12382329596088,1,1,18,2,59,0
12500,3,3,2,11.56,47.27151315152906,0,0,9,6,30,1
12000,37,0,1,0.9456932154495161,17.480323446199023,1,1,13,5,29,0
13100,3,0,1,1.2216228864402077,331.9883216317285,1,1,8,0,64,0
4800,26,0,1,0.34777654049318796,13.910465362551664,1,1,18,6,102,0
9700,11,2,1,0.8781247670720398,22.294805646387353,1,1,22,2,18,0
16800,12,0,1,2.4095039765116733,79.82523813060068,1,1,11,1,18,0
14200,6,2,0,8.000089408290185,113.10562178898282,1,1,8,2,8,0
11800,2,3,1,14.03,3.405867320856774,0,0,14,6,8,1
15300,8,0,0,12.0,238.80959907836825,1,1,11,6,43,0
14200,6,1,0,2.079372858882016,141.7848036451727,1,1,14,0,10,0
10600,46,0,0,1.2152838379930482,63.294781593506855,1,1,8,0,79,0
8800,45,1,1,0.4922043851114445,201.0997358320186,1,1,16,6,32,0
16800,14,1,0,2.0614479246918522,168.71551684283762,1,1,9,4,49,0
12900,22,0,1,3.6769437634094677,96.14203621372197,1,1,21,3,139,0
9200,10,0,1,0.24877936229529915,181.7202258564156,1,0,18,4,53,0
15300,19,0,0,1.4883039176474302,317.7276288079561,1,0,14,3,8,0
7200,7,1,0,0.191087851538953,720.0,1,1,22,2,70,0
11700,3,1,0,6.503845644658417,63.917322628261395,1,1,12,0,43,0
10800,6,1,0,3.944528079160736,293.9392646311764,1,1,18,2,101,0
4900,5,0,0,0.18915211600868367,207.9794362706913,1,0,21,5,67,0
6500,4,2,0,4.7478639711253985,230.1117914684992,1,1,15,6,86,0
11300,9,0,0,1.185316059903902,52.94292704509401,1,1,17,5,15,0
7600,49,0,0,3.4854313757224693,116.26373412502075,1,1,22,0,53,0
16800,8,0,0,1.085130574406151,12.377761645038117,1,1,22,1,14,0
12500,9,0,0,1.181739665151485,269.3629218991849,1,1,8,1,41,0
12600,10,1,0,2.2234858350849906,720.0,1,1,19,5,105,0
14700,12,1,0,0.28258057899151534,20.282756399922114,1,0,8,1,39,0
16600,19,1,0,0.7934096752501719,19.822928584646633,1,1,22,5,100,0
14500,30,0,0,3.316382444797096,41.42723249398698,1,0,13,0,7,0
8400,7,2,0,0.01704857670815156,53.14890947364133,1,1,22,5,74,0
14800,7,2,0,2.3119370230927534,240.7594293234035,1,1,17,6,8,0
7600,53,0,0,4.232328906300869,250.97359407360432,0,1,8,4,7,0
6000,12,0,0,2.54575939555287,62.00496911152017,1,1,9,1,134,0
5100,5,3,1,2.6848826586082986,164.86620415200497,1,1,20,2,29,0
12800,6,6,1,9.44,36.46529874615854,0,0,17,6,5,1
16900,37,1,0,0.38549749458495874,77.39636071344567,1,1,12,4,228,0
17500,23,0,0,1.459200845439591,367.23946197101577,0,1,22,1,30,0
13400,8,3,2,20.26,22.79876175794931,0,0,12,2,4,1
16900,15,2,0,2.3160151006731318,182.8153953649838,1,1,11,4,37,0
9300,6,9,3,5.13,39.88491520288164,0,1,2,5,20,1
13300,30,1,1,0.981598904540356,213.0151431798219,1,1,22,6,41,0
4900,4,1,0,1.3481377613367982,47.48656022414669,1,1,20,0,61,0
7400,5,2,0,0.1770600873985047,140.4972947385677,1,1,9,5,74,0
6500,14,0,0,1.1649910736739968,27.348322730954152,1,1,11,1,33,0
8900,7,1,0,0.3596778027203284,720.0,1,1,10,6,65,0
7600,8,0,0,3.127935851503026,70.01714325436271,1,1,18,0,11,0
9300,14,1,0,8.001918178133105,30.613942076754302,0,1,11,1,128,0
6000,12,1,0,0.01836877665942685,564.7752522282768,1,1,8,4,19,0
5600,5,0,1,0.7854472173593594,720.0,1,1,8,3,108,0
8500,60,0,0,3.225518120847799,345.3247488665901,1,1,12,0,53,0
14700,6,1,0,1.7903029395283236,137.6412634869056,0,1,14,2,19,0
10900,3,0,0,1.508077571634797,148.86532346697064,1,1,15,1,146,0
13200,12,1,1,6.254990384391823,331.40207594287483,1,1,8,2,8,0
14200,5,0,0,0.04704359971989397,89.92451105592981,1,1,21,3,16,0
12900,30,3,0,10.03,57.97553308443845,0,0,23,3,5,1
14700,21,0,0,0.01477098097047407,555.4382222498924,1,1,9,2,22,0
6200,6,1,1,6.452765996032315,258.1357542071065,1,1,17,5,10,0
7700,15,0,2,1.7148450240242976,427.97393007425705,1,1,18,5,13,0
8200,9,0,0,3.424334599056587,497.36398819315343,1,1,10,5,31,0
4200,12,3,0,2.8871427394860105,87.14960136190619,1,1,21,6,58,0
11300,3,2,1,2.327353866956123,504.19391695111136,1,1,9,3,23,0
14400,4,2,1,1.311243804171493,73.20087563269789,1,1,20,1,68,0
16800,24,1,0,2.0970323295015256,114.78726875435402,1,0,19,0,67,0
14400,4,0,2,5.280130554559701,68.03422833508665,1,1,14,5,30,0
15300,4,12,3,5.48,27.417083669834188,1,0,2,6,4,1
13500,16,3,2,9.73,34.519349329636725,0,0,2,2,29,1
15600,18,0,0,0.9617035014359432,287.6065653070001,1,0,20,0,13,0
9300,23,0,0,0.04936067369281382,94.731585027725,0,1,17,5,135,0
7100,3,0,2,4.283295152607705,67.17152216411796,1,1,11,3,13,0
9500,19,0,1,6.939997100944049,25.90517349088774,1,0,15,2,24,0
15200,3,1,1,1.2829454830251446,547.3240960147634,1,0,12,5,34,0
7100,11,1,0,0.05310587517813739,294.972230142155,0,1,17,0,15,0
16600,8,3,1,1.3051514359286196,147.8631476963977,1,0,9,6,12,0
8700,43,0,0,2.201688838072448,187.79497954994224,1,1,9,4,26,0
16200,15,0,1,2.253624772036307,323.2697695440117,1,0,21,6,39,0
17400,23,3,1,1.5203866720766992,720.0,1,1,21,5,18,0
5200,5,0,0,1.0485009852258513,42.42174684108967,1,1,14,2,13,0
12700,20,1,0,1.7580397955425484,447.5215427395068,1,0,16,3,32,0
14900,15,1,0,0.6727350948209239,446.66381663911307,1,1,21,4,127,0
5600,20,1,0,1.5589226398513525,169.85435472905164,1,1,13,4,53,0
10400,23,1,1,0.4681653878355188,161.8437579151319,0,1,11,4,43,0
13500,34,0,2,0.05121910615147543,30.388345478824878,1,1,11,3,15,0
10200,22,0,2,3.0471820979279816,274.4301238054531,1,1,9,0,38,0
8000,11,0,0,1.4996102201161723,191.7268296134332,1,1,19,4,24,0
13900,3,0,0,0.5631171164195046,173.89753287790515,1,1,13,5,44,0
9500,15,0,0,2.7946270480648088,217.03396405189056,1,1,13,6,114,0
4700,4,0,1,2.6486798139117216,230.7743979817876,1,1,19,2,21,0
4900,4,2,1,0.9383333281538548,72.95485777288063,1,0,21,1,184,0
4400,9,2,2,4.138207493137671,720.0,1,1,17,2,40,0
10600,16,0,0,5.108132354075226,144.36545387370225,1,0,21,0,27,0
4300,9,1,0,0.9687270102318375,450.49083552047165,1,1,11,4,100,0
12500,36,0,0,3.2304455160054313,45.83562044232982,1,1,11,0,17,0
9700,8,3,1,12.12,45.70739673155843,0,1,4,5,11,1
13700,19,2,0,1.0646755971305457,31.633912275408413,0,1,12,2,54,0
13700,23,3,0,1.5205061553531365,160.04728684365816,1,1,10,4,56,0
16700,12,0,0,4.370267006495688,514.9964965264206,1,1,9,6,28,0
13700,10,0,0,0.4659302236570629,273.907530046692,0,1,8,5,18,0
15500,9,1,0,1.7927303885514458,240.8714528819512,1,1,15,1,101,0
15000,7,0,0,2.8394198400091812,51.55498206711102,1,1,19,5,97,0
13400,28,2,1,1.0570825248619367,69.02172164174486,1,1,15,3,141,0
10900,19,1,2,2.077575612589789,210.00772847704016,1,1,12,6,25,0
12800,11,2,0,7.822377658933663,416.827049800534,1,0,17,2,79,0
12600,34,2,0,3.0825168379312116,25.1408560303648,1,1,18,5,70,0
14600,26,0,0,2.6622416803009252,170.20331289120395,1,1,21,4,47,0
15300,6,0,0,0.12490589088274098,79.49984611140461,1,1,18,6,53,0
11000,9,12,3,1.26,9.304270646914558,0,0,5,0,2,1
15000,26,0,1,9.179823744436082,338.30308524177764,1,1,19,1,16,0
13500,10,0,1,6.029064543517012,16.019901438741215,1,1,8,6,55,0
11600,11,0,0,3.610408934966078,111.32536343139716,1,1,19,2,11,0
16000,8,1,0,0.47356691401037604,138.91504836371954,1,1,21,1,7,0
12800,5,0,1,7.995414213816114,27.527288178197757,1,1,14,6,39,0
5900,6,1,1,0.9002319511400235,185.6338068238789,1,1,21,4,59,0
5400,7,1,0,1.290708226422526,28.956085314070414,1,1,13,4,10,0
9800,4,0,0,5.39284235544324,88.3567926414635,1,0,22,0,76,0
8600,26,0,0,0.29936872247755686,96.0130289490011,1,0,15,6,79,0
16100,60,1,0,7.884111001332187,50.58730269247327,1,1,11,5,18,0
9600,32,1,1,9.816776643135857,88.89100764975754,1,1,18,5,113,0
17600,17,0,0,0.9035095025575912,81.71068244680568,1,1,17,4,34,0
14600,6,0,1,0.4719370803921271,341.31606314879724,1,1,13,1,16,0
11900,16,0,1,0.7564782276506807,513.9273796697335,1,1,10,2,23,0
13600,59,1,0,1.3834451859723464,69.06703838960686,1,1,14,6,106,0
7500,14,3,0,6.970507961083184,119.65704968618735,1,1,14,4,11,0
14400,11,1,0,4.767684825228084,201.49215803499925,1,1,18,3,104,0
10600,15,0,1,3.8402222511701063,94.51160119259563,1,0,8,0,119,0
11300,3,2,0,2.334837601868662,187.79877209726007,1,0,15,5,19,0
4000,5,0,2,1.8651314289803476,58.72853875687566,1,1,8,3,13,0
7100,11,1,0,0.5937134442855682,404.06807644170226,1,1,13,4,15,0
5400,6,0,0,5.990722625986027,126.37418411660751,1,1,20,5,36,0
17500,8,12,3,2.88,14.831637922663678,0,0,5,2,6,1
8500,4,3,1,3.2627329728868077,432.50223301285035,1,0,20,0,97,0
12600,18,1,0,1.066674892861116,47.70402474088109,1,1,14,6,23,0
14600,6,0,0,0.9317228589660542,30.284221230880497,1,1,13,0,39,0
11000,3,0,1,1.3124807741584763,12.941458275748992,1,1,9,4,41,0
7100,19,1,0,2.0830539879203904,612.292557397406,1,1,17,6,37,0
9900,7,0,0,3.2605931729507924,179.20251518431326,1,1,10,5,34,0
6200,36,2,0,1.936456931260777,266.31462675622134,1,0,12,4,54,0
5000,8,1,1,0.5512892461645181,60.901731269082646,1,0,10,5,9,0
10200,14,0,0,0.884126101968311,335.351941714954,1,1,17,6,139,0
4800,12,0,0,10.596881687222297,289.17197456052753,1,1,12,6,8,0
10000,60,0,0,8.19956480687434,103.44758199043123,1,1,9,1,44,0
11500,7,2,0,1.010559600298648,133.3140304027464,1,0,17,0,54,0
6500,46,0,0,0.7708213416861525,34.40428553014702,1,1,16,1,19,0
5100,6,0,1,1.3018977597456542,142.43564282666625,1,1,8,1,12,0
15700,11,0,2,0.12936656999726415,252.42820228936134,1,1,17,1,20,0
16000,6,0,1,1.950021832968839,219.59521402474155,1,1,15,0,30,0
9600,10,2,0,5.322949876268247,106.21631688853321,1,1,11,5,55,0
5700,7,0,0,1.9032234722713748,42.87284458040925,1,1,15,4,86,0
11200,5,0,0,2.3437567048950743,64.33715009741653,1,1,18,1,167,0
14500,5,1,1,0.5747333335764555,720.0,1,1,14,3,65,0
15200,3,1,1,3.4667377413984686,70.44235101226921,1,1,21,4,69,0
11300,25,2,0,2.1016799908528787,41.01375579308184,1,0,14,4,43,0
17100,12,3,1,20.75,8.216784879070733,0,0,14,5,12,1
5600,23,0,0,2.915986062585116,103.36208268105881,1,0,8,6,224,0
8500,44,0,0,6.227578434680906,101.19207462989249,0,1,11,1,14,0
6500,7,2,0,1.465116093609324,29.129380197963865,1,1,12,5,67,0
12600,10,1,0,0.5991928752611348,99.41040504614945,1,1,10,1,104,0
4100,23,1,0,0.2261100317665914,18.596756597090312,1,0,12,4,41,0
10000,16,1,0,1.1563049489084523,185.6730449806244,1,1,10,0,14,0
13900,51,1,2,0.7097911416619495,48.083882448687646,1,1,18,5,20,0
12900,7,0,1,9.077006350484034,178.27777495519504,0,1,8,2,10,0
12300,22,0,0,0.003058579619375762,321.8219572899502,0,1,10,2,63,0
12700,14,6,2,35.0,26.67405132990956,0,0,14,0,20,1
14500,6,6,2,18.34,30.692913767034263,0,0,9,0,21,1
13400,4,1,1,2.503416109181127,104.49402088485417,1,1,13,0,214,0
11800,9,1,2,0.7676002757575917,186.35026533285898,1,1,9,1,51,0
4800,7,1,0,4.69656145788788,525.7771196938012,1,1,15,2,59,0
11400,12,1,0,2.7681024347519396,170.87464537445814,1,0,9,0,17,0
7000,15,0,1,3.7853771386884145,409.76535753547984,1,1,11,4,10,0
4500,36,1,0,5.798957819429585,385.0848443242682,0,0,8,2,339,0
14500,13,0,1,2.9847963196089093,66.7710801848687,1,1,9,4,25,0
5200,26,2,0,0.2831811096199802,103.93036666344959,1,1,18,0,49,0
7500,15,2,0,1.0410400559116022,483.31059504908694,1,1,8,0,7,0
14800,5,1,0,0.6140369317286443,270.0043318955938,1,1,17,2,30,0
10600,9,0,0,0.03858937473158447,248.1939862205522,1,1,10,1,64,0
12600,33,0,2,7.187780998587078,359.41735445111,1,1,13,2,49,0
11700,18,1,0,3.2754465962992114,213.92232465938466,1,1,19,0,74,0
16800,10,0,1,1.410433569943995,354.1610064880188,1,1,13,1,108,0
16000,11,2,0,6.674167269155113,263.85770574575577,1,1,10,5,119,0
4700,11,1,0,5.184920161701523,28.714110127536657,1,1,9,2,70,0
10100,55,1,2,4.421211011187786,329.5495683438162,1,1,14,4,21,0
15500,8,1,0,0.1668240049628424,466.0679151561709,1,1,13,2,10,0
9100,13,0,1,0.3515281125588471,399.17512269440743,1,1,18,1,144,0
12900,45,0,0,0.2105217189252736,214.30723026768325,1,1,16,6,11,0
10300,9,1,1,0.30145433239890607,118.79549110275713,1,1,18,0,36,0
10900,2,6,1,8.0,30.70726578155087,0,0,20,4,7,1
12600,12,1,0,0.47538310777540527,90.3962759521349,1,1,13,3,18,0
17900,18,1,0,0.031126244237923227,679.1030823486419,1,1,16,3,25,0
6100,8,0,0,5.603178891443946,17.890287156219443,1,1,16,3,21,0
14800,5,0,0,3.7929490943173656,104.44787556852934,1,1,13,3,37,0
8100,16,1,2,3.580795102005847,207.5836485643613,1,1,10,1,33,0
4400,3,1,0,2.2847372081525457,117.20395151541162,1,1,8,3,61,0
12200,19,0,1,1.2270643363925606,35.21365343357795,1,0,19,4,149,0
9100,21,6,1,13.46,13.591031601014478,0,0,14,1,2,1
13800,16,0,2,0.848986036172694,146.02979638578893,1,0,9,1,73,0
14200,6,1,0,2.51244523510785,287.8074773368572,1,1,17,1,30,0
8400,3,2,2,1.8910393805373302,314.51932662701626,1,1,9,5,129,0
11400,7,1,0,1.2932412095367443,78.97174375442955,1,1,15,5,82,0
17200,12,0,0,1.4517345884986508,230.35045192352703,1,0,11,6,33,0
6800,4,0,0,2.495964519766317,235.56021917546295,1,1,9,3,29,0
4400,15,1,0,0.8730265982230406,329.5607297975373,1,0,20,1,28,0
8500,13,0,0,6.11221962593172,39.54200980631647,1,1,12,6,32,0
7600,3,1,0,2.6653057232965667,720.0,1,1,20,0,45,0
13800,19,1,1,1.632751122930095,143.37011844986077,1,1,9,3,52,0
9700,8,0,0,1.1389031073646168,96.32652273093504,1,1,20,4,82,0
4600,5,0,1,1.9088921404684855,155.55225360714934,1,1,19,3,15,0
10900,14,0,0,0.11119349504660794,15.82127142344448,0,1,18,1,42,0
13200,27,0,0,0.3955094585081426,64.58127645379972,1,1,18,2,12,0
11200,15,0,0,2.578648018539658,720.0,1,1,11,6,16,0
12800,13,0,0,2.1441641533660145,155.72215150893203,1,1,12,5,26,0
5600,4,0,0,2.1772745690547737,47.68366877197211,1,1,11,5,7,0
14700,14,3,2,0.9623126654531466,54.53126947180054,0,1,17,4,102,0
11300,8,1,0,0.8616787084878439,367.7233584370413,1,1,12,2,27,0
15000,5,0,0,0.10753177093824208,334.91389122441007,1,1,22,5,34,0
14900,8,0,0,2.9571941801766317,38.0151477449202,1,1,19,4,188,0
14200,8,1,0,1.0053620721682877,188.691394911886,1,0,8,0,51,0
10400,19,0,0,0.5236638151978545,32.84396617004195,1,1,22,6,143,0
6100,16,1,1,2.5640928987074845,119.7292919363932,1,1,18,4,12,0
5400,29,2,0,0.5408615351287274,720.0,1,1,14,0,30,0
11500,5,3,2,16.34,16.023659009615017,0,0,17,0,30,1
10200,28,0,0,0.8537586005958896,720.0,1,1,13,0,31,0
15900,6,1,0,7.673209574557056,103.06942042225855,1,1,20,1,125,0
9400,26,0,1,2.4871670362173073,402.63910173585674,1,1,22,6,66,0
6700,25,0,0,5.2907813206136725,237.46988208559102,1,1,15,0,59,0
12900,11,0,1,1.6906890446728104,103.43343522053435,1,1,12,0,131,0
6900,25,3,1,3.787776952571466,339.5534169040466,1,1,14,6,18,0
12900,8,12,5,6.62,5.429638947098365,1,0,5,5,4,1
17100,5,1,0,4.812977240010886,294.30398951850447,1,0,20,1,220,0
17300,14,1,1,3.0582232394880955,197.8484941582107,1,1,21,1,139,0
8600,11,0,0,1.8552342350218154,58.82519422261941,1,0,19,2,64,0
16200,9,0,1,1.8134420683565535,472.02633866315034,1,0,22,2,29,0
10000,3,0,0,18.45,66.16182679442018,0,0,1,2,8,1
17100,9,1,0,3.10184755796953,178.63565814066513,1,1,18,3,28,0
8000,6,6,1,2.33,16.988247832406135,0,0,5,4,10,1
5100,25,1,1,1.0032490473099762,101.46337337107337,1,1,22,3,29,0
8700,6,0,2,0.9166892635594649,267.7933341987297,1,1,19,5,149,0
12400,12,2,1,5.492145989953967,131.09318387218315,1,1,18,2,55,0
5400,43,2,1,1.6470429078831093,102.43534674239915,1,1,13,6,7,0
14400,9,2,0,2.7773816048060946,71.28002206511135,1,1,19,6,23,0
4400,25,2,0,0.8756786250502052,102.8985611740475,1,1,13,6,9,0
5400,4,1,0,2.3073329197094705,87.97983763732657,1,0,11,6,28,0
4400,24,0,0,6.146585727827512,62.578071898366694,1,1,22,0,24,0
10500,20,1,0,3.1212638081685617,236.4782454022381,0,1,11,6,66,0
11400,6,1,0,3.1074241552468673,19.271404920363967,0,1,17,3,28,0
7700,22,0,0,0.8527699999795206,260.4784130896686,1,0,13,4,20,0
15800,13,0,0,2.906273835373975,126.20643821822452,1,1,14,5,56,0
5400,5,0,1,7.497868382682014,479.9611954756874,1,1,11,1,34,0
9200,7,0,1,6.433849240691546,167.7397946851698,1,1,11,2,188,0
12400,18,2,0,4.942469484817943,104.24239434838711,1,1,18,5,144,0
15500,8,1,0,0.7005424038306678,91.7193173764169,1,1,15,4,30,0
16500,25,0,0,0.5393737866211643,145.32457001437587,1,1,14,3,38,0
14000,21,0,1,2.0465430462419087,254.27895988626162,1,1,20,2,45,0
14300,60,1,0,2.1548362046435696,238.44804739152153,0,1,20,3,15,0
13800,26,1,1,0.5084184546492367,61.178402078987126,1,1,20,0,53,0
13600,5,1,1,0.4470277710698076,144.8477231807411,1,1,19,4,68,0
9100,49,1,1,4.924827111651485,423.5448093436077,1,1,22,3,14,0
17100,5,1,1,1.5303181237739838,241.25887762681438,1,1,12,3,55,0
14800,18,2,0,1.262161830921746,41.148318789293484,1,1,15,1,116,0
10400,4,0,0,3.4053795668147147,85.4332794761105,1,1,10,2,7,0
12100,6,12,4,2.73,25.556147929793532,0,0,3,2,5,1
6700,12,0,0,0.4834833488961259,319.0294401731919,1,1,8,4,21,0
8500,33,0,2,1.383031043549903,177.17033287873346,1,1,14,6,111,0
5000,33,1,0,0.6261988464847337,265.6652385456855,1,1,21,0,67,0
7000,10,0,2,5.239849286156154,30.154759633360264,1,1,12,4,7,0
7200,11,1,1,0.5029182977714758,246.94628039089557,1,1,19,6,89,0
11900,4,0,0,1.591650909278336,345.3285528464002,1,1,20,1,29,0
4700,4,2,0,4.518346132438525,210.5408485129528,1,1,16,5,33,0
8700,24,6,2,8.0,49.48750103526664,0,0,20,2,3,1
4200,27,0,1,2.922179930296343,147.3859909590019,1,1,9,5,47,0
4000,28,1,0,2.074391776669879,245.0287316071102,1,1,13,3,165,0
7600,30,2,1,0.744094727645252,114.98795580199196,1,1,13,3,67,0
9500,16,1,1,6.973819864159335,76.04364555180817,1,1,18,2,53,0
10500,24,0,0,1.0039769952772246,128.25252326261324,1,1,17,1,46,0
10700,3,0,1,11.477273731331628,49.2392513043872,1,1,9,3,15,0
8800,4,0,0,1.8249385243488205,264.5145560094187,1,1,13,1,17,0
15900,9,0,0,4.252831442048743,205.54578648106792,1,1,12,1,216,0
7900,25,0,1,3.7415350738499944,46.56805165219442,1,1,14,2,65,0
11800,60,2,1,0.39821053426082803,121.21694560281301,1,0,8,0,36,0
16600,15,1,1,0.09772053392686594,60.15577905908921,1,1,14,1,52,0
8700,18,1,1,2.3317903029087663,317.92109267020084,1,1,12,4,22,0
4800,18,0,1,0.28897243928770167,128.04219200496593,1,1,11,6,67,0
7200,3,0,0,4.951337570803623,138.08024031396866,1,1,15,5,100,0
12700,11,1,1,1.433900891809805,72.8234611280845,1,1,22,0,63,0
15800,6,1,0,2.233874402123831,17.96717564451527,1,0,10,4,26,0
5700,7,0,0,0.760965690242525,237.3074126805127,1,1,8,5,37,0
