city,zone_risk_level,platform,avg_weekly_earnings,avg_daily_hours,preferred_shift,vehicle_type,experience_months,historical_claims_count,historical_disruption_freq,season,aqi_avg_30d,rainfall_avg_30d,temperature_avg_30d,risk_score,weekly_premium
Delhi,0.965,Both,3600.0,9.3,Morning,Scooter,30,0,1.68,winter,364.6,14.4,14.8,84.8,72.9
Hyderabad,1.003,Swiggy,3400.0,10.7,Night,Bicycle,3,1,1.65,summer,85.3,29.4,40.3,69.5,66.3
Bangalore,1.06,Both,4300.0,9.9,Mixed,Scooter,10,0,1.65,summer,79.9,25.6,30.8,35.0,43.3
Pune,1.052,Both,5400.0,7.5,Mixed,Scooter,6,1,2.06,monsoon,38.4,218.1,30.4,49.3,60.5
Hyderabad,0.901,Zomato,4300.0,11.0,Afternoon,Motorcycle,16,2,2.87,summer,90.3,12.3,38.3,57.4,50.3
Delhi,0.976,Both,4100.0,10.9,Mixed,Scooter,24,0,1.75,monsoon,84.9,28.2,33.2,81.3,81.1
Pune,1.172,Both,4200.0,7.0,Afternoon,Scooter,9,0,0.96,summer,71.6,15.8,29.2,49.8,57.9
Kolkata,1.194,Both,4500.0,10.6,Afternoon,Motorcycle,2,2,0.81,monsoon,102.9,309.5,29.4,78.4,90.0
Bangalore,0.963,Zomato,5400.0,8.7,Afternoon,Scooter,11,2,4.33,monsoon,64.8,106.1,24.5,40.1,43.9
Delhi,1.011,Both,2200.0,8.5,Morning,Scooter,9,1,1.35,summer,240.3,2.7,42.7,95.3,90.0
Hyderabad,0.892,Both,4000.0,9.8,Afternoon,Motorcycle,5,0,3.52,winter,150.3,16.3,17.1,54.0,51.8
Mumbai,1.123,Both,2000.0,9.7,Mixed,Motorcycle,12,3,1.81,monsoon,42.2,582.6,29.6,82.4,90.0
Mumbai,1.2,Swiggy,4300.0,10.8,Night,Scooter,10,1,1.23,monsoon,65.8,561.6,27.6,84.7,90.0
Mumbai,0.936,Both,3900.0,7.3,Afternoon,Motorcycle,24,0,1.94,monsoon,65.5,555.2,27.6,69.0,67.0
Kolkata,1.141,Swiggy,3100.0,10.1,Afternoon,Scooter,17,1,2.5,monsoon,108.6,422.6,27.6,77.5,81.9
Hyderabad,1.088,Zomato,2000.0,6.7,Afternoon,Bicycle,4,0,1.82,summer,136.4,8.3,40.4,66.8,69.8
Hyderabad,0.98,Both,3500.0,8.6,Morning,Bicycle,8,1,1.52,monsoon,86.5,79.9,29.9,62.5,69.7
Kolkata,0.916,Swiggy,3700.0,8.8,Morning,Motorcycle,7,0,0.75,monsoon,82.4,454.0,33.8,65.3,61.2
Bangalore,1.2,Zomato,3400.0,10.9,Mixed,Scooter,16,0,1.5,summer,64.3,28.4,26.2,39.4,44.8
Chennai,1.092,Swiggy,3000.0,9.0,Night,Motorcycle,3,1,2.32,summer,84.6,43.3,37.0,66.4,65.0
Mumbai,1.115,Zomato,2800.0,8.5,Night,Bicycle,26,0,0.76,monsoon,66.2,619.3,29.0,79.9,89.4
Mumbai,0.975,Swiggy,3500.0,11.9,Afternoon,Scooter,6,1,1.65,winter,191.6,6.7,33.2,77.8,75.7
Hyderabad,1.007,Swiggy,2900.0,8.1,Mixed,Motorcycle,21,0,2.21,winter,162.0,3.1,17.7,50.8,50.7
Bangalore,0.854,Both,4100.0,8.1,Morning,Motorcycle,21,0,2.96,winter,91.6,33.5,24.1,22.3,30.9
Chennai,1.091,Both,3400.0,6.0,Mixed,Bicycle,15,1,1.11,monsoon,80.5,85.2,29.3,67.3,80.4
Kolkata,0.955,Swiggy,2100.0,8.6,Evening,Scooter,12,1,3.63,summer,65.6,32.2,36.6,70.8,63.6
Chennai,0.877,Both,3600.0,7.1,Afternoon,Motorcycle,12,5,2.37,summer,110.4,17.6,36.5,69.3,63.8
Chennai,0.897,Zomato,3800.0,8.5,Night,Scooter,10,1,1.07,summer,114.6,25.6,36.5,65.1,57.8
Chennai,1.2,Both,4800.0,9.5,Evening,Scooter,11,0,2.12,summer,106.5,19.9,37.1,66.1,73.7
Delhi,0.964,Zomato,4200.0,6.8,Afternoon,Scooter,36,0,1.42,monsoon,106.2,146.7,36.2,84.1,78.8
Mumbai,1.044,Both,2800.0,7.4,Night,Motorcycle,6,0,0.75,winter,106.7,3.3,26.5,68.3,77.0
Bangalore,0.857,Both,4600.0,6.0,Night,Scooter,6,3,1.87,summer,75.7,51.3,35.7,39.8,40.1
Delhi,0.977,Zomato,2400.0,8.0,Night,Scooter,12,1,1.89,winter,425.7,21.1,19.8,98.1,90.0
Bangalore,0.836,Zomato,3500.0,7.1,Evening,Scooter,9,2,2.22,summer,77.8,36.3,29.5,35.8,36.3
Pune,1.045,Both,4100.0,13.3,Afternoon,Scooter,6,1,1.24,winter,100.4,6.8,18.5,56.5,57.2
Delhi,0.891,Both,4700.0,12.0,Evening,Scooter,28,0,1.3,summer,191.3,49.8,34.5,86.7,65.5
Mumbai,1.096,Both,5000.0,11.7,Mixed,Scooter,3,0,2.75,summer,107.1,0.0,32.1,73.4,76.2
Delhi,0.8,Zomato,4500.0,6.4,Afternoon,Scooter,11,0,2.61,winter,467.1,12.5,10.0,93.5,71.4
Delhi,0.924,Swiggy,3400.0,8.6,Mixed,Scooter,3,4,1.0,summer,159.4,30.2,39.1,100.0,90.0
Hyderabad,1.141,Swiggy,4000.0,6.6,Morning,Scooter,40,0,0.66,winter,148.9,10.4,19.4,53.9,57.1
Chennai,1.184,Both,3700.0,12.7,Morning,Motorcycle,7,0,1.1,monsoon,110.6,112.1,26.9,63.5,75.1
Kolkata,1.001,Both,2900.0,10.7,Afternoon,Scooter,2,1,2.89,winter,206.4,8.4,21.4,74.3,73.1
Hyderabad,0.953,Both,3400.0,6.9,Morning,Scooter,24,1,0.0,summer,95.8,16.9,39.5,55.6,50.7
Bangalore,1.014,Swiggy,4900.0,9.7,Mixed,Bicycle,30,1,1.53,monsoon,65.4,108.0,23.3,38.4,44.6
Kolkata,1.2,Zomato,4000.0,6.0,Afternoon,Scooter,2,0,2.74,monsoon,66.5,321.2,33.5,74.9,87.2
Mumbai,0.968,Both,5100.0,8.7,Morning,Motorcycle,4,2,2.15,winter,160.1,1.7,27.8,73.8,77.4
Mumbai,1.0,Zomato,2600.0,8.6,Night,Motorcycle,11,0,1.88,winter,211.7,13.2,20.4,71.6,72.8
Mumbai,0.874,Zomato,3200.0,10.5,Mixed,Motorcycle,12,0,2.74,winter,133.5,14.3,22.9,67.6,61.1
Hyderabad,0.919,Zomato,3800.0,11.0,Mixed,Scooter,6,3,1.82,winter,156.2,16.2,18.3,65.2,62.1
Bangalore,1.053,Swiggy,4100.0,9.0,Morning,Motorcycle,7,0,1.56,winter,80.8,0.0,18.9,32.4,41.6
Mumbai,1.107,Zomato,3400.0,8.6,Night,Scooter,35,2,2.6,monsoon,58.2,370.3,32.3,76.1,86.0
Bangalore,1.036,Swiggy,4100.0,6.0,Afternoon,Scooter,17,2,3.53,monsoon,37.8,153.6,24.3,41.9,48.5
Mumbai,1.1,Zomato,4100.0,12.1,Mixed,Scooter,2,2,0.18,summer,123.7,0.5,35.3,83.4,90.0
Hyderabad,0.88,Both,2400.0,7.7,Night,Bicycle,9,0,1.37,winter,142.3,2.1,23.8,60.4,55.3
Bangalore,0.868,Swiggy,4100.0,9.2,Night,Scooter,10,0,1.75,summer,71.0,31.2,28.1,31.5,33.6
Bangalore,1.095,Zomato,4400.0,13.5,Mixed,Scooter,32,2,1.55,winter,74.3,40.3,24.0,40.8,48.2
Delhi,0.943,Both,3700.0,6.6,Mixed,Motorcycle,11,1,2.05,monsoon,126.7,42.3,39.4,83.7,84.3
Chennai,0.859,Swiggy,2000.0,9.0,Morning,Motorcycle,8,1,1.98,winter,63.3,172.9,28.8,63.2,57.0
Delhi,1.024,Zomato,3300.0,10.0,Night,Scooter,13,0,1.02,summer,199.2,14.5,41.2,87.8,76.8
Mumbai,1.01,Swiggy,3900.0,11.2,Morning,Scooter,60,0,2.46,summer,81.2,7.3,34.7,60.5,63.9
Mumbai,0.977,Both,2800.0,9.0,Mixed,Scooter,30,0,1.9,monsoon,67.4,436.9,30.8,66.8,67.4
Jaipur,1.19,Both,4200.0,11.4,Night,Motorcycle,5,0,3.0,summer,229.8,10.1,44.5,84.6,73.3
Ahmedabad,1.2,Swiggy,4100.0,8.2,Morning,Scooter,7,1,2.85,winter,126.0,1.3,25.0,57.5,66.4
Hyderabad,1.115,Both,3600.0,10.1,Afternoon,Scooter,20,1,1.83,monsoon,77.8,123.9,28.2,59.4,69.2
Delhi,1.052,Zomato,3500.0,9.8,Mixed,Scooter,2,0,2.42,winter,482.2,7.3,17.7,94.5,90.0
Jaipur,1.166,Both,3700.0,8.8,Night,Scooter,11,1,0.16,monsoon,83.6,113.0,35.3,78.7,80.5
Kolkata,1.019,Both,3500.0,9.6,Afternoon,Scooter,10,2,0.3,monsoon,89.9,453.2,32.6,81.3,84.2
Hyderabad,0.977,Swiggy,2500.0,7.3,Mixed,Motorcycle,6,0,2.87,summer,118.6,24.8,37.1,51.8,47.9
Bangalore,0.93,Swiggy,3200.0,8.4,Night,Motorcycle,3,0,1.89,summer,72.9,39.7,28.2,28.7,33.5
Delhi,0.906,Swiggy,3600.0,6.4,Morning,Motorcycle,3,2,3.02,winter,427.6,5.5,25.5,98.9,89.1
Mumbai,1.111,Zomato,4600.0,8.1,Afternoon,Scooter,21,0,2.88,summer,69.9,2.3,35.3,68.5,72.2
Ahmedabad,0.82,Both,4100.0,11.3,Mixed,Scooter,13,1,0.77,summer,211.2,7.5,44.9,62.7,39.4
Bangalore,0.929,Both,4700.0,9.8,Afternoon,Motorcycle,31,0,2.52,winter,81.8,20.1,22.2,21.8,32.8
Delhi,0.958,Both,2400.0,9.6,Morning,Scooter,11,0,1.37,monsoon,81.5,141.9,32.6,84.4,85.3
Delhi,0.831,Zomato,3200.0,6.0,Night,Scooter,2,2,1.76,winter,314.0,9.4,17.1,95.3,82.3
Chennai,0.953,Both,5200.0,9.6,Mixed,Motorcycle,14,1,0.98,monsoon,61.9,56.8,31.5,59.1,58.1
Mumbai,1.011,Swiggy,2900.0,8.9,Evening,Scooter,24,1,2.8,summer,97.4,7.9,32.1,67.4,69.8
Pune,1.123,Both,2900.0,10.1,Mixed,Scooter,5,2,2.39,winter,128.5,0.8,15.8,57.8,68.2
Kolkata,0.939,Both,3300.0,11.8,Morning,Scooter,21,3,1.52,summer,87.9,37.3,34.9,73.1,67.1
Hyderabad,1.012,Both,5100.0,8.2,Night,Scooter,24,1,1.38,summer,159.3,26.6,37.5,60.6,57.7
Bangalore,0.821,Both,3000.0,8.4,Night,Scooter,14,1,2.62,winter,81.6,17.9,21.9,31.8,33.1
Chennai,0.854,Zomato,3900.0,10.8,Mixed,Scooter,22,1,1.37,summer,97.8,52.1,33.5,61.9,51.1
Chennai,0.8,Zomato,3800.0,7.8,Evening,Scooter,9,0,1.51,summer,118.0,78.7,35.7,64.3,48.4
Chennai,1.117,Zomato,2000.0,9.2,Mixed,Motorcycle,3,2,1.41,summer,115.0,60.2,34.8,71.6,76.9
Mumbai,0.961,Swiggy,3500.0,6.0,Morning,Motorcycle,6,0,1.41,monsoon,65.4,521.5,29.2,73.3,73.5
Bangalore,1.027,Both,3100.0,8.4,Morning,Motorcycle,24,3,2.54,winter,66.5,38.5,23.5,34.5,45.0
Mumbai,1.063,Both,4000.0,11.6,Night,Motorcycle,13,0,2.18,summer,123.9,19.7,37.3,72.3,68.5
Bangalore,1.097,Swiggy,4900.0,9.7,Morning,Scooter,2,3,1.55,summer,56.5,57.7,28.4,46.6,53.6
Delhi,1.2,Both,3200.0,10.8,Mixed,Bicycle,29,1,1.16,winter,550.0,5.5,10.8,100.0,90.0
Mumbai,0.995,Zomato,3200.0,10.9,Morning,Scooter,14,2,1.99,monsoon,53.0,265.1,27.9,75.3,82.4
Mumbai,0.915,Swiggy,5500.0,11.7,Night,Scooter,4,0,1.78,monsoon,50.6,538.0,29.7,74.0,71.8
Chennai,1.084,Swiggy,2900.0,8.3,Evening,Motorcycle,13,1,2.62,winter,170.5,261.0,25.3,68.9,68.9
Mumbai,1.2,Zomato,2400.0,10.9,Night,Scooter,15,1,1.42,winter,121.0,10.5,21.0,76.8,89.9
Ahmedabad,0.935,Swiggy,4600.0,13.5,Night,Motorcycle,8,1,2.34,summer,254.9,9.7,41.6,60.4,47.9
Chennai,0.905,Both,3500.0,8.9,Evening,Scooter,14,0,1.8,monsoon,41.2,139.4,30.8,63.0,57.0
Delhi,0.8,Both,3700.0,6.4,Evening,Scooter,58,0,2.23,winter,479.0,0.0,12.0,81.4,58.3
Chennai,0.8,Both,5300.0,7.8,Evening,Motorcycle,14,1,3.3,monsoon,72.1,89.8,30.1,52.5,49.2
Mumbai,1.17,Both,2400.0,9.9,Night,Scooter,13,0,1.79,summer,105.7,3.5,32.7,73.3,79.4
Jaipur,0.979,Swiggy,3300.0,6.0,Night,Motorcycle,25,2,3.74,monsoon,90.6,153.3,34.1,67.9,59.3
Bangalore,0.863,Zomato,2500.0,7.5,Evening,Motorcycle,17,2,1.83,monsoon,41.5,88.0,26.6,29.3,38.6
Kolkata,1.0,Both,3800.0,8.3,Afternoon,Motorcycle,13,1,1.17,monsoon,81.0,312.6,33.1,71.1,68.8
Mumbai,1.2,Swiggy,3100.0,9.2,Morning,Motorcycle,16,0,3.25,monsoon,63.7,661.5,29.1,74.8,87.1
Bangalore,1.001,Swiggy,2600.0,12.6,Night,Scooter,33,0,3.45,winter,123.2,73.1,21.3,31.0,35.9
Bangalore,1.2,Zomato,4100.0,10.4,Afternoon,Scooter,5,1,1.25,winter,101.4,50.9,26.1,44.3,55.0
Ahmedabad,0.888,Both,3500.0,6.8,Evening,Motorcycle,17,0,1.37,winter,121.2,5.1,26.2,44.6,43.2
Chennai,1.175,Both,2500.0,14.0,Mixed,Scooter,2,1,2.65,summer,61.0,19.0,29.9,70.9,78.3
Bangalore,0.933,Both,2500.0,9.0,Night,Scooter,8,1,2.46,winter,76.6,52.4,26.5,34.3,40.6
Delhi,0.908,Zomato,3700.0,6.0,Afternoon,Scooter,5,0,1.35,monsoon,96.5,171.3,28.9,87.0,78.9
Delhi,0.887,Both,2200.0,6.9,Evening,Scooter,7,1,1.28,winter,243.7,11.6,16.9,89.7,79.4
Bangalore,0.961,Swiggy,3700.0,6.9,Afternoon,Scooter,15,0,2.23,summer,67.5,4.8,27.8,26.1,34.2
Bangalore,1.117,Zomato,4600.0,6.3,Night,Motorcycle,4,0,1.89,winter,55.9,51.4,23.1,35.6,46.2
Mumbai,0.942,Swiggy,4000.0,10.0,Morning,Scooter,7,0,2.46,monsoon,47.9,458.3,26.9,72.9,72.6
Pune,1.128,Swiggy,3000.0,6.0,Mixed,Scooter,2,1,2.46,summer,93.6,19.6,29.0,52.8,61.3
Ahmedabad,0.914,Swiggy,3700.0,11.0,Mixed,Scooter,8,2,2.73,summer,199.2,2.9,40.6,62.5,50.5
Mumbai,0.99,Zomato,2500.0,10.6,Afternoon,Scooter,16,1,0.37,monsoon,60.4,395.8,27.9,74.8,75.6
Chennai,0.936,Swiggy,3600.0,8.1,Afternoon,Scooter,33,3,3.49,winter,84.5,342.2,27.1,68.5,64.7
Mumbai,1.2,Both,3200.0,10.8,Evening,Motorcycle,13,1,2.41,winter,127.0,9.1,24.7,74.6,86.8
Hyderabad,1.062,Both,2700.0,6.8,Night,Scooter,4,0,1.65,monsoon,64.5,158.8,29.5,59.0,62.5
Delhi,1.034,Both,4000.0,7.3,Night,Scooter,10,0,1.92,monsoon,84.4,72.1,32.2,81.6,89.8
Hyderabad,0.967,Swiggy,2000.0,10.1,Morning,Bicycle,6,1,2.52,summer,53.5,2.8,42.1,65.6,63.5
Hyderabad,0.93,Both,2600.0,8.6,Night,Bicycle,6,0,2.19,winter,194.6,8.0,24.3,56.7,57.3
Kolkata,0.879,Zomato,2600.0,7.7,Morning,Motorcycle,7,1,2.2,summer,116.7,109.7,37.4,67.1,58.6
Mumbai,1.159,Both,3100.0,8.8,Afternoon,Motorcycle,7,3,1.93,winter,144.2,3.2,20.2,81.7,90.0
Ahmedabad,0.806,Swiggy,4500.0,11.6,Night,Motorcycle,8,1,3.33,winter,162.1,0.7,16.3,55.3,43.8
Delhi,0.957,Swiggy,4100.0,11.6,Mixed,Motorcycle,5,1,2.27,summer,162.1,9.0,48.7,98.7,80.3
Mumbai,1.106,Swiggy,3600.0,9.9,Night,Bicycle,2,1,2.91,monsoon,75.2,519.0,32.0,88.8,90.0
Chennai,0.8,Both,3500.0,8.3,Morning,Motorcycle,17,0,3.75,winter,120.2,116.1,31.6,55.1,46.9
Delhi,1.021,Zomato,3500.0,10.0,Night,Scooter,9,1,2.77,monsoon,105.8,51.3,32.4,87.0,90.0
Pune,0.896,Swiggy,4600.0,7.3,Morning,Motorcycle,9,0,2.24,monsoon,45.7,90.1,27.9,41.2,45.2
Kolkata,1.003,Both,2000.0,11.3,Afternoon,Scooter,16,0,0.53,summer,161.5,11.2,35.7,72.2,60.4
Delhi,0.98,Swiggy,4100.0,10.9,Morning,Scooter,2,2,1.67,monsoon,82.0,76.1,31.2,94.1,90.0
Jaipur,0.8,Zomato,3100.0,12.9,Mixed,Scooter,7,3,3.7,winter,137.4,8.3,11.8,76.7,59.4
Delhi,1.077,Swiggy,3900.0,7.4,Afternoon,Scooter,5,0,2.26,winter,401.6,11.6,13.8,93.8,90.0
Bangalore,0.881,Both,3900.0,7.1,Evening,Scooter,7,1,0.93,summer,54.4,31.6,29.5,31.3,36.9
Delhi,0.934,Both,4100.0,10.1,Night,Scooter,11,2,1.83,winter,420.1,4.2,15.5,97.5,88.3
Ahmedabad,1.006,Zomato,4800.0,8.5,Mixed,Motorcycle,9,0,1.06,summer,209.6,0.0,44.6,58.4,45.6
Mumbai,1.045,Swiggy,2400.0,11.0,Mixed,Bicycle,16,2,1.63,summer,77.4,16.6,31.5,82.5,88.2
Mumbai,1.054,Both,4300.0,11.6,Morning,Scooter,11,1,1.68,summer,52.3,0.0,33.1,77.8,83.2
Bangalore,1.095,Zomato,3400.0,12.4,Afternoon,Scooter,54,3,1.53,summer,71.9,25.7,29.3,36.9,45.3
Lucknow,0.8,Zomato,3100.0,9.1,Evening,Bicycle,4,0,2.06,monsoon,61.4,160.7,27.4,68.6,60.1
Ahmedabad,1.058,Zomato,5100.0,10.8,Night,Scooter,22,0,0.37,monsoon,69.0,97.0,28.3,49.3,50.3
Hyderabad,1.001,Swiggy,4100.0,8.0,Afternoon,Scooter,18,0,2.53,winter,129.7,18.1,19.7,51.6,53.7
Ahmedabad,0.934,Swiggy,3200.0,9.4,Afternoon,Scooter,14,0,3.15,winter,184.2,0.0,24.1,51.2,45.6
Ahmedabad,1.032,Zomato,4300.0,8.9,Night,Scooter,10,1,0.53,summer,238.5,0.0,40.6,64.2,53.2
Bangalore,1.11,Zomato,3500.0,8.8,Evening,Bicycle,52,2,2.85,summer,76.7,38.3,28.7,39.0,46.5
Delhi,0.895,Swiggy,3200.0,12.6,Night,Scooter,38,0,2.52,monsoon,82.9,101.9,32.5,81.3,72.1
Kolkata,1.168,Both,3000.0,6.3,Afternoon,Motorcycle,11,0,2.29,monsoon,96.0,402.9,30.7,71.4,80.0
Hyderabad,1.138,Zomato,3700.0,9.0,Evening,Motorcycle,11,2,2.04,monsoon,61.4,98.2,27.1,58.7,74.5
Delhi,1.044,Swiggy,3000.0,9.1,Morning,Scooter,6,0,2.18,winter,411.6,8.6,16.4,92.4,89.5
Mumbai,0.853,Both,3600.0,10.3,Morning,Scooter,3,2,2.69,winter,210.3,12.4,24.0,77.3,72.9
Hyderabad,1.2,Swiggy,4200.0,6.8,Morning,Motorcycle,17,0,2.17,monsoon,87.2,102.6,23.9,53.4,64.4
Delhi,1.034,Swiggy,3600.0,8.4,Morning,Scooter,16,2,4.15,summer,147.7,0.0,40.6,96.0,90.0
Ahmedabad,1.018,Zomato,5100.0,7.8,Afternoon,Scooter,18,1,1.49,monsoon,82.4,165.4,30.7,53.6,55.1
Delhi,1.014,Both,3500.0,6.0,Morning,Bicycle,16,2,3.32,winter,362.5,18.6,10.0,100.0,90.0
Mumbai,1.066,Both,4600.0,11.3,Morning,Scooter,18,0,1.9,summer,97.2,18.2,30.0,70.5,73.6
Pune,1.111,Both,4300.0,6.1,Mixed,Motorcycle,8,1,1.68,monsoon,74.0,202.0,25.2,49.0,62.9
Mumbai,0.997,Both,4700.0,6.0,Mixed,Motorcycle,4,0,2.81,summer,105.9,30.2,33.4,68.4,67.2
Mumbai,0.851,Swiggy,5100.0,10.9,Afternoon,Scooter,5,0,1.75,summer,97.5,8.3,31.3,66.4,56.4
Chennai,1.124,Swiggy,2100.0,8.3,Mixed,Scooter,9,0,3.39,summer,125.8,26.2,36.2,63.9,68.3
Pune,0.902,Both,3700.0,8.4,Morning,Motorcycle,2,0,1.4,monsoon,51.3,211.1,26.7,45.8,46.7
Mumbai,0.879,Zomato,3400.0,8.4,Morning,Scooter,11,3,3.02,winter,179.1,5.4,24.2,71.3,77.3
Delhi,0.992,Zomato,3600.0,11.1,Afternoon,Scooter,6,0,2.48,monsoon,75.4,78.0,34.1,88.2,90.0
Kolkata,0.945,Zomato,3200.0,7.9,Afternoon,Bicycle,7,2,1.87,winter,232.1,5.8,21.5,79.8,81.6
Jaipur,1.046,Swiggy,3100.0,10.2,Morning,Motorcycle,18,2,1.21,summer,280.1,8.1,49.5,84.6,68.4
Bangalore,1.068,Zomato,2600.0,6.7,Mixed,Motorcycle,60,4,1.21,summer,56.4,19.6,24.4,33.8,47.2
Mumbai,0.944,Swiggy,3600.0,9.7,Mixed,Scooter,17,1,1.32,summer,124.9,17.2,32.9,71.9,65.8
Mumbai,1.015,Swiggy,4200.0,10.8,Afternoon,Motorcycle,16,0,2.89,winter,156.4,2.4,32.3,66.4,68.4
Delhi,0.942,Both,3100.0,11.8,Afternoon,Scooter,3,0,2.04,summer,193.2,23.3,44.9,95.7,77.9
Mumbai,1.092,Swiggy,3200.0,6.0,Night,Scooter,9,1,2.63,summer,102.6,13.8,31.4,73.6,83.1
Hyderabad,1.059,Zomato,2900.0,8.4,Mixed,Motorcycle,5,0,2.12,summer,131.2,36.8,42.0,57.7,55.2
Mumbai,1.086,Both,2700.0,12.2,Afternoon,Motorcycle,8,1,1.12,summer,127.1,7.9,31.0,74.3,76.7
Bangalore,0.966,Swiggy,3300.0,10.8,Night,Scooter,13,1,2.28,winter,79.5,39.1,25.3,39.0,43.0
